Airport,metro_area,municipality,Exclusive catchment,Runway,Start gates,Easy build gates,Lat,Long,Elevation
BMG,Bloomington (IN),,0,6500,1,1,39.1459999084473,-86.61669921875,846
SBN,South Bend,,0,8414,1,7,41.7086982727051,-86.3172988891602,799
FWA,Fort Wayne,,0,11981,1,9,40.97850037,-85.19509888,814
HUF,Terre Haute,,0,9020,1,2,39.4515,-87.307602,589
LAF,Lafayette (IN),,0,6600,1,1,40.4123001098633,-86.936897277832,606
IND,Indianapolis,,0,11200,1,46,39.7173,-86.294403,797
HTS,Huntington,,0,7017,1,4,38.36669922,-82.55799866,828
LWB,Lewisburg/Beckley,Lewisburg,1,7003,1,2,37.8582992554,-80.3994979858,2302
BKW,Lewisburg/Beckley,Beckley,2,6750,1,2,37.7873001099,-81.1241989136,2504
HLG,Wheeling,,0,5002,1,4,40.1749992371,-80.6463012695,1195
PKB,Parkersburg,,0,7240,1,3,39.345100402832,-81.4392013549805,858
EVV,Evansville/Owensboro,Evansville,1,8021,1,10,38.0369987488,-87.5324020386,418
OWB,Evansville/Owensboro,Owensboro,1,8000,1,2,37.74010086,-87.16680145,407
BLF,Bluefield,,0,4743,1,4,37.2957992553711,-81.2077026367188,2857
ISP,Islip,,0,7006,1,11,40.79520035,-73.10019684,99
PPG,Pago Pago,,0,10000,1,3,-14.3310003281,-170.710006714,32
OFU,Ofu,,0,2000,1,1,-14.184394,-169.669673,9
FTI,Fitiuta,,0,3200,1,2,-14.2172,-169.425003,110
SWF,Newburgh,,1,11817,1,7,41.5041007995606,-74.1047973632813,491
POU,Newburgh,Poughkeepsie,0.1,5001,1,3,41.6265983581543,-73.8842010498047,165
ALB,Albany (NY),,0,8500,1,22,42.7482986450195,-73.8016967773438,285
PBG,Plattsburgh,,0,11759,1,3,44.6509017944336,-73.4681015014648,234
SLK,Saranac Lake,,0,6573,1,1,44.3852996826172,-74.2061996459961,1663
MSS,Massena,,0,5600,1,1,44.9357986450195,-74.8455963134766,215
OGS,Ogdensburg,,0,6400,1,1,44.6819000244,-75.4654998779,297
ART,Watertown,,0,7001,1,1,43.9919013977051,-76.0216979980469,325
RME,Utica,,0,11820,1,2,43.23379898,-75.40699768,504
SYR,Syracuse,,0,9003,1,20,43.111198425293,-76.1063003540039,421
